source,true_deg,true_label,messy,orig_pred_label,orig_pred_deg,orig_confidence,conf_rot0,conf_rot90,conf_rot180,conf_rot270,best_retry_deg,best_conf,inferred_label,retry_correct,orig_correct,conf_gain
Audit Report (1)_page_0005.png,270,3,False,3,270,0.7481681704521179,0.7481681704521179,0.8876899480819702,0.8421239256858826,0.837742269039154,90,0.8876899480819702,3,True,True,0.1395217776298523
Audit Report NFRS Sample 2 (1) (1)_page_0008.png,90,1,False,1,90,0.5310167670249939,0.5310167670249939,0.7623437643051147,0.4655519723892212,0.7692591547966003,270,0.7692591547966003,1,True,True,0.23824238777160645
Audit Report NFRS Sample 2 (1) (1)_page_0008.png,270,3,False,3,270,0.4655519723892212,0.4655519723892212,0.7692591547966003,0.5310167670249939,0.7623437643051147,90,0.7692591547966003,3,True,True,0.30370718240737915
Audit Report NFRS Sample 2 (1) (1)_page_0009.png,0,0,False,0,0,0.7134963274002075,0.7134963274002075,0.8902217745780945,0.6563367247581482,0.8885806202888489,90,0.8902217745780945,0,True,True,0.17672544717788696
Audit Report NFRS Sample 2 (1) (1)_page_0009.png,180,2,False,0,0,0.6563367247581482,0.6563367247581482,0.8885806202888489,0.7134963274002075,0.8902217745780945,270,0.8902217745780945,2,True,False,0.2338850498199463
Provisional Report_page_0007.png,270,3,False,0,0,0.48222067952156067,0.48222067952156067,0.9033970236778259,0.8929792046546936,0.8731698393821716,90,0.9033970236778259,3,True,False,0.42117634415626526
